Function,Invocations(%),#Invocations
pthread_spin_destroy,0,0
pthread_spin_init,0,0
pthread_spin_lock,0,0
pthread_spin_trylock,0,0
pthread_spin_unlock,0,0
ptsname,0,0
putc,0,0
putchar_unlocked,0,0
putc_unlocked,0,0
putenv,0,0
putmsg,0,0
putpmsg,0,0
pututxline,0,0
putwc,0,0
putwchar,0,0
pwrite,0,0
qsort,0,0
rand,0,0
random,0,0
rand_r,0,0
readlinkat,0,0
realpath,0,0
regcomp,0,0
regerror,0,0
regexec,0,0
regfree,0,0
remainder,0,0
remainderf,0,0
remainderl,0,0
remque,0,0
remquo,0,0
remquof,0,0
remquol,0,0
renameat,0,0
rint,0,0
rintf,0,0
rintl,0,0
round,0,0
roundf,0,0
roundl,0,0
scalbln,0,0
scalblnf,0,0
scalblnl,0,0
scalbn,0,0
scalbnf,0,0
scalbnl,0,0
scandir,0,0
scanf,0,0
sched_getparam,0,0
sched_getscheduler,0,0
sched_rr_get_interval,0,0
sched_setparam,0,0
sched_setscheduler,0,0
seed48,0,0
seekdir,0,0
sem_close,0,0
semctl,0,0
sem_getvalue,0,0
sem_open,0,0
sem_timedwait,0,0
sem_unlink,0,0
setenv,0,0
setgrent,0,0
sethostent,0,0
setjmp,0,0
setkey,0,0
setlocale,0,0
setlogmask,0,0
setnetent,0,0
setpgrp,0,0
setpriority,0,0
setprotoent,0,0
setpwent,0,0
setregid,0,0
setreuid,0,0
setrlimit,0,0
setservent,0,0
setstate,0,0
setutxent,0,0
sighold,0,0
sigignore,0,0
siginterrupt,0,0
siglongjmp,0,0
signbit,0,0
sigpause,0,0
sigpending,0,0
sigqueue,0,0
sigrelse,0,0
sigset,0,0
sigsetjmp,0,0
sigsuspend,0,0
sigtimedwait,0,0
sigwait,0,0
sigwaitinfo,0,0
sin,0,0
sinf,0,0
sinh,0,0
sinhf,0,0
sinhl,0,0
sinl,0,0
sleep,0,0
snprintf,0,0
sockatmark,0,0
sprintf,0,0
sqrt,0,0
sqrtf,0,0
sqrtl,0,0
srand,0,0
srand48,0,0
srandom,0,0
sscanf,0,0
stat,0,0
stpcpy,0,0
stpncpy,0,0
strcasecmp,0,0
strcasecmp_l,0,0
strcat,0,0
strchr,0,0
strcmp,0,0
strcoll,0,0
strcoll_l,0,0
strcpy,0,0
strcspn,0,0
strdup,0,0
strerror,0,0
strerror_l,0,0
strerror_r,0,0
strfmon,0,0
strfmon_l,0,0
strftime,0,0
strftime_l,0,0
strlen,0,0
strncasecmp,0,0
strncasecmp_l,0,0
strncat,0,0
strncmp,0,0
strncpy,0,0
strndup,0,0
strnlen,0,0
strpbrk,0,0
strptime,0,0
strrchr,0,0
strsignal,0,0
strspn,0,0
strstr,0,0
strtod,0,0
strtof,0,0
strtoimax,0,0
strtok,0,0
strtok_r,0,0
strtol,0,0
strtold,0,0
strtoll,0,0
strtoul,0,0
strtoull,0,0
strtoumax,0,0
strxfrm,0,0
strxfrm_l,0,0
swprintf,0,0
swscanf,0,0
symlinkat,0,0
sync,0,0
sysconf,0,0
syslog,0,0
tan,0,0
tanf,0,0
tanh,0,0
